review_id,user,product,rating,comment
1,KH0005,M0000458,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
2,KH0005,M0000278,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
3,KH0005,M0000156,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
4,KH0005,M0000781,1,"Rất thất vọng, sản phẩm không đạt yêu cầu."
5,KH0005,M0001140,4,"Sản phẩm tốt, nhưng có thể cải thiện một số chi tiết nhỏ."
6,KH0005,M0000990,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
7,KH0005,M0000005,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
8,KH0005,M0000003,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
9,KH0005,M0000010,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
10,KH0005,M0000783,4,"Sản phẩm tốt, nhưng có thể cải thiện một số chi tiết nhỏ."
11,KH0005,M0000324,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
12,KH0005,M0000322,4,"Sản phẩm tốt, nhưng có thể cải thiện một số chi tiết nhỏ."
13,KH0005,M0000639,4,"Sản phẩm tốt, nhưng có thể cải thiện một số chi tiết nhỏ."
14,KH0005,M0000429,3,"Sản phẩm ổn, nhưng không quá ấn tượng."
15,KH0005,M0000334,2,"Sản phẩm không như mong đợi, có thể cải thiện nhiều hơn."
16,KH0005,M0000814,1,"Rất thất vọng, sản phẩm không đạt yêu cầu."
17,KH0005,M0001042,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
18,KH0005,M0001230,2,"Sản phẩm không như mong đợi, có thể cải thiện nhiều hơn."
19,KH0006,M0000824,4,"Sản phẩm tốt, nhưng có thể cải thiện một số chi tiết nhỏ."
20,KH0006,M0001043,3,"Sản phẩm ổn, nhưng không quá ấn tượng."
21,KH0006,M0000813,4,"Sản phẩm tốt, nhưng có thể cải thiện một số chi tiết nhỏ."
22,KH0006,M0001159,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
23,KH0006,M0001143,4,"Sản phẩm tốt, nhưng có thể cải thiện một số chi tiết nhỏ."
24,KH0006,M0000251,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
25,KH0006,M0000195,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
26,KH0006,M0000490,1,"Rất thất vọng, sản phẩm không đạt yêu cầu."
27,KH0006,M0000192,4,"Sản phẩm tốt, nhưng có thể cải thiện một số chi tiết nhỏ."
28,KH0006,M0000481,4,"Sản phẩm tốt, nhưng có thể cải thiện một số chi tiết nhỏ."
29,KH0006,M0000842,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
30,KH0007,M0001043,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
31,KH0007,M0001229,2,"Sản phẩm không như mong đợi, có thể cải thiện nhiều hơn."
32,KH0007,M0000836,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
33,KH0007,M0000331,5,"Sản phẩm tuyệt vời, tôi rất hài lòng!"
